slug,first_name,last_name,credentials,title_line,role,pillars,specialties,modalities,age_groups,locations,formats,headshot_url,bio_p1,bio_p2,bullet_1,bullet_2,bullet_3,active,notes
rachel-lessard,Rachel,Lessard,LCSW-R,Founder and Licensed Clinical Social Worker,Founder,wisdom;wellness;medication,"anxiety;depression;PTSD;couples;hypnotherapy;veterans;first responders;bariatric surgery evaluations and counseling","hypnotherapy;couples therapy;trauma therapy",adults;couples,[NEEDS],in person;telehealth,https://images.squarespace-cdn.com/content/v1/5f1c8357aeb2de46daf50944/1786108513951-ZQJ9ZNVPO0FNO8NCA4QL/Rachel+Lessard.JPG,"Rachel is a therapist, founder, lifelong listener, and the original Patient Zero behind Pathways Within. She sets the vision, protects the culture, and keeps asking how Pathways can make care feel more connected, more human, and more useful in real life.","After losing her dad suddenly as a child, Rachel was raised by a village of aunts, uncles, grandparents, teachers, and friends. That village taught her the power of chosen family and the fact that wisdom can come from just about anywhere. She studied psychology, human behavior, and the mind body spirit connection, and built Pathways Within as the place she wished existed when she was finding her own way.",Specializes in anxiety and depression with a trauma informed lens,Works with couples using the Gottman Method and offers clinical hypnotherapy,Provides bariatric surgery evaluations and counseling and supports veterans and first responders,true,Founder page. Author entity for all Wisdom pages.
ksusha-cascio,Ksusha,Cascio,LCSW,Chief Operating Officer and Licensed Clinical Social Worker,Leadership,wisdom,"complex PTSD;adult ADHD;job related stress;Internal Family Systems;parts work","IFS;parts work",adults,[NEEDS],in person;telehealth,[NEEDS],"Ksusha is the person who helps turn big ideas into clear plans, strong systems, and an organization that knows where the metaphorical keys are. With a passion for developing the clinicians in the practice, her thoughtful, judgment free approach keeps teams connected and growth grounded in the experience of the people doing the work.","Reaching out for help can feel daunting, but nothing happens in our comfort or discomfort zone. Ksusha provides a judgment free space to explore, challenge, and develop the best version of yourself.",Specializes in complex PTSD and adult ADHD,Trained in Internal Family Systems and parts work,Supports clients with job related stress,true,
joe-bush,Joe,Bush,LCSW,"Clinical Director, Nassau",Leadership,wisdom,"anxiety;depression;adolescents;college transition;relationship issues;bipolar disorder;men's issues;anger;school refusal;ADHD;job related stress;family work","family therapy;individual therapy",teens;young adults;adults;families,[NEEDS],in person;telehealth,[NEEDS],"Joe brings a relational, practical lens to clinical leadership and a strong belief that no one should have to face life's challenges alone. He supports the Nassau clinical team in delivering care that is compassionate, approachable, and rooted in real world needs.","In session, Joe strives to create a non judgmental and empathetic environment where clients can safely explore life challenges.",Specializes in anxiety and depression in adolescents and adults,Works with families and relationship issues including men's issues and anger,Experienced with bipolar disorder and ADHD,true,
lee-wasser,Lee,Wasser,LMHC-D,"Clinical Director, Suffolk",Leadership,wisdom,"LGBTQ+ issues;teens;adults;trauma;depression;self harm;anxiety;mood disorders;sex;addiction;relationship issues;impulsivity;life changes;domestic violence;assault","individual therapy;trauma therapy",teens;adults,[NEEDS],in person;telehealth,[NEEDS],"Lee brings a broad, adaptable clinical perspective to his leadership of the Suffolk team. He encourages curiosity, inclusivity, and flexibility, helping clinicians expand their skills while keeping treatment centered on the person in front of them.","Every person is different and comes from a different perspective. Lee works from a variety of clinical approaches and wants clients to embrace their individuality as they work together to see what works best.",Specializes in LGBTQ+ affirming care for teens and adults,Treats trauma including domestic violence and assault,Works with mood disorders and addiction,true,
kaitlyn-kelly,Kaitlyn,Kelly,LMHC,Supervisor and Licensed Mental Health Counselor,Supervisor,wisdom,"anxiety;depression;stress management;communication;teens;adults",individual therapy,teens;adults,[NEEDS],in person;telehealth,[NEEDS],"Therapy is for everyone. In a session with Kaitlyn, you can expect a judgment free zone where you can feel comfortable sharing openly and honestly.","Beginning mental health care can be intimidating, but it does not have to be scary. Kaitlyn helps clients meet their individual goals in therapy.",Specializes in anxiety and depression,Focuses on stress management and communication,Works with teens and adults,true,
laura-desilva,Laura,DeSilva,LMHC,Supervisor and Licensed Mental Health Counselor,Supervisor,wisdom,"anxiety;trauma;depression","humanistic;CBT;psychodynamic",adults,[NEEDS],in person;telehealth,[NEEDS],"As an eclectic clinician, Laura pulls from humanistic, cognitive behavioral, and psychodynamic frameworks to suit her clients' needs. She views counseling as a collaboration and takes a person centered approach.","Laura brings warmth, genuineness, and acceptance to the therapeutic relationship so clients feel safe and supported to grow and change.",Specializes in anxiety and depression,Trauma informed,Uses CBT and psychodynamic approaches,true,
samantha-juravich,Samantha,Juravich,LCSW,Supervisor and Licensed Clinical Social Worker,Supervisor,wisdom,"children;teens;families;trauma;behavior concerns;anxiety;depression;low self esteem;developmental delays;ADHD;intellectual disabilities","child therapy;family therapy",children;teens;families,[NEEDS],in person;telehealth,[NEEDS],"Samantha's first goal as a therapist is to create a safe, supportive environment that assists clients with self discovery, change, and improving their quality of life.","She tailors each session to the client's individual needs, incorporating a variety of therapeutic techniques and collaborating with other treatment providers when needed.",Specializes in children and teens,Works with families on behavior concerns,Experienced with ADHD and developmental delays,true,
beth-gabellini,Beth,Gabellini,LCSW,Licensed Clinical Social Worker,Clinician,wisdom,"relationships;veterans;women's empowerment;life transitions",individual therapy,adults,[NEEDS],in person;telehealth,[NEEDS],"Beth's philosophy is that we are all perfectly imperfect and should seek to live as our authentic selves.","She is an open minded, caring professional who gives clients the space to feel safe, be heard, and work through their thoughts and emotions.",Specializes in relationships and life transitions,Works with veterans,Focus on women's empowerment,true,
carly-sandstrom,Carly,Sandstrom,LMHC,Licensed Mental Health Counselor,Clinician,wisdom,"trauma;anxiety;veterans;first responders;attachment;parts work","trauma therapy;parts work",adults,[NEEDS],in person;telehealth,[NEEDS],"There is no one size fits all approach in therapy. Carly tailors each session to be the most beneficial for the client, in a warm, trusting, and empathetic environment.","She believes in the power of a strong, compassionate therapeutic relationship and works with clients to discover ways to provide relief and create positive change.",Specializes in trauma and anxiety,Works with veterans and first responders,Trained in attachment theory and parts work,true,
jen-brooks,Jen,Brooks,LCSW,Licensed Clinical Social Worker,Clinician,wisdom,"anxiety;depression;anger management;trauma;traumatic brain injury;autism;ADHD;behavior modification;mindfulness","CBT;mindfulness",teens;adults,[NEEDS],in person;telehealth,[NEEDS],"Life can hand us many challenges, but you are not alone. Jen provides a balance of support, understanding, and compassion.","Virtually or in office, Jen works with clients to problem solve and practice skills that help them feel in control of their lives again.",Specializes in anxiety and depression,Works with adults with traumatic brain injuries,Supports autism and ADHD in teens and adults,true,
